"","Year","Species","Total_strandings","Richness","Total_events","Population","Storms","Max_K_index","Organisations","Max_SST","NAO_index"
"1",1913,"Balaenoptera acutorostrata",4,11,26,41.33,0,5,1,15.03372233,2.85
"2",1913,"Balaenoptera borealis",1,11,26,41.33,0,5,1,15.03372233,2.85
"3",1913,"Balaenoptera musculus",0,11,26,41.33,0,5,1,15.03372233,2.85
"4",1913,"Balaenoptera physalus",2,11,26,41.33,0,5,1,15.03372233,2.85
"5",1913,"Delphinapterus leucas",0,11,26,41.33,0,5,1,15.03372233,2.85
"6",1913,"Delphinus delphis",5,11,26,41.33,0,5,1,15.03372233,2.85
"7",1913,"Globicephala melas",1,11,26,41.33,0,5,1,15.03372233,2.85
"8",1913,"Grampus griseus",3,11,26,41.33,0,5,1,15.03372233,2.85
"9",1913,"Hyperoodon ampullatus",2,11,26,41.33,0,5,1,15.03372233,2.85
"10",1913,"Kogia breviceps",0,11,26,41.33,0,5,1,15.03372233,2.85
"11",1913,"Kogia sima",0,11,26,41.33,0,5,1,15.03372233,2.85
"12",1913,"Lagenodelphis hosei",0,11,26,41.33,0,5,1,15.03372233,2.85
"13",1913,"Lagenorhynchus acutus",1,11,26,41.33,0,5,1,15.03372233,2.85
"14",1913,"Lagenorhynchus albirostris",1,11,26,41.33,0,5,1,15.03372233,2.85
"15",1913,"Megaptera novaeangliae",0,11,26,41.33,0,5,1,15.03372233,2.85
"16",1913,"Mesoplodon bidens",0,11,26,41.33,0,5,1,15.03372233,2.85
"17",1913,"Mesoplodon densirostris",0,11,26,41.33,0,5,1,15.03372233,2.85
"18",1913,"Mesoplodon europaeus",0,11,26,41.33,0,5,1,15.03372233,2.85
"19",1913,"Mesoplodon mirus",0,11,26,41.33,0,5,1,15.03372233,2.85
"20",1913,"Monodon monoceros",0,11,26,41.33,0,5,1,15.03372233,2.85
"21",1913,"Orcinus orca",0,11,26,41.33,0,5,1,15.03372233,2.85
"22",1913,"Peponocephala electra",0,11,26,41.33,0,5,1,15.03372233,2.85
"23",1913,"Phocoena phocoena",11,11,26,41.33,0,5,1,15.03372233,2.85
"24",1913,"Physeter macrocephalus",1,11,26,41.33,0,5,1,15.03372233,2.85
"25",1913,"Pseudorca crassidens",0,11,26,41.33,0,5,1,15.03372233,2.85
"26",1913,"Stenella coeruleoalba",0,11,26,41.33,0,5,1,15.03372233,2.85
"27",1913,"Tursiops truncatus",0,11,26,41.33,0,5,1,15.03372233,2.85
"28",1913,"Ziphius cavirostris",1,11,26,41.33,0,5,1,15.03372233,2.85
"29",1914,"Balaenoptera acutorostrata",0,9,43,41.7,1,6,1,15.63883877,2.4
"30",1914,"Balaenoptera borealis",2,9,43,41.7,1,6,1,15.63883877,2.4
"31",1914,"Balaenoptera musculus",0,9,43,41.7,1,6,1,15.63883877,2.4
"32",1914,"Balaenoptera physalus",3,9,43,41.7,1,6,1,15.63883877,2.4
"33",1914,"Delphinapterus leucas",0,9,43,41.7,1,6,1,15.63883877,2.4
"34",1914,"Delphinus delphis",6,9,43,41.7,1,6,1,15.63883877,2.4
"35",1914,"Globicephala melas",1,9,43,41.7,1,6,1,15.63883877,2.4
"36",1914,"Grampus griseus",0,9,43,41.7,1,6,1,15.63883877,2.4
"37",1914,"Hyperoodon ampullatus",5,9,43,41.7,1,6,1,15.63883877,2.4
"38",1914,"Kogia breviceps",0,9,43,41.7,1,6,1,15.63883877,2.4
"39",1914,"Kogia sima",0,9,43,41.7,1,6,1,15.63883877,2.4
"40",1914,"Lagenodelphis hosei",0,9,43,41.7,1,6,1,15.63883877,2.4
"41",1914,"Lagenorhynchus acutus",0,9,43,41.7,1,6,1,15.63883877,2.4
"42",1914,"Lagenorhynchus albirostris",4,9,43,41.7,1,6,1,15.63883877,2.4
"43",1914,"Megaptera novaeangliae",0,9,43,41.7,1,6,1,15.63883877,2.4
"44",1914,"Mesoplodon bidens",1,9,43,41.7,1,6,1,15.63883877,2.4
"45",1914,"Mesoplodon densirostris",0,9,43,41.7,1,6,1,15.63883877,2.4
"46",1914,"Mesoplodon europaeus",0,9,43,41.7,1,6,1,15.63883877,2.4
"47",1914,"Mesoplodon mirus",0,9,43,41.7,1,6,1,15.63883877,2.4
"48",1914,"Monodon monoceros",0,9,43,41.7,1,6,1,15.63883877,2.4
"49",1914,"Orcinus orca",0,9,43,41.7,1,6,1,15.63883877,2.4
"50",1914,"Peponocephala electra",0,9,43,41.7,1,6,1,15.63883877,2.4
"51",1914,"Phocoena phocoena",19,9,43,41.7,1,6,1,15.63883877,2.4
"52",1914,"Physeter macrocephalus",0,9,43,41.7,1,6,1,15.63883877,2.4
"53",1914,"Pseudorca crassidens",0,9,43,41.7,1,6,1,15.63883877,2.4
"54",1914,"Stenella coeruleoalba",0,9,43,41.7,1,6,1,15.63883877,2.4
"55",1914,"Tursiops truncatus",3,9,43,41.7,1,6,1,15.63883877,2.4
"56",1914,"Ziphius cavirostris",0,9,43,41.7,1,6,1,15.63883877,2.4
"57",1915,"Balaenoptera acutorostrata",2,9,19,40.13,0,8,1,15.82381909,-2.66
"58",1915,"Balaenoptera borealis",0,9,19,40.13,0,8,1,15.82381909,-2.66
"59",1915,"Balaenoptera musculus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"60",1915,"Balaenoptera physalus",1,9,19,40.13,0,8,1,15.82381909,-2.66
"61",1915,"Delphinapterus leucas",0,9,19,40.13,0,8,1,15.82381909,-2.66
"62",1915,"Delphinus delphis",7,9,19,40.13,0,8,1,15.82381909,-2.66
"63",1915,"Globicephala melas",1,9,19,40.13,0,8,1,15.82381909,-2.66
"64",1915,"Grampus griseus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"65",1915,"Hyperoodon ampullatus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"66",1915,"Kogia breviceps",0,9,19,40.13,0,8,1,15.82381909,-2.66
"67",1915,"Kogia sima",0,9,19,40.13,0,8,1,15.82381909,-2.66
"68",1915,"Lagenodelphis hosei",0,9,19,40.13,0,8,1,15.82381909,-2.66
"69",1915,"Lagenorhynchus acutus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"70",1915,"Lagenorhynchus albirostris",1,9,19,40.13,0,8,1,15.82381909,-2.66
"71",1915,"Megaptera novaeangliae",0,9,19,40.13,0,8,1,15.82381909,-2.66
"72",1915,"Mesoplodon bidens",1,9,19,40.13,0,8,1,15.82381909,-2.66
"73",1915,"Mesoplodon densirostris",0,9,19,40.13,0,8,1,15.82381909,-2.66
"74",1915,"Mesoplodon europaeus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"75",1915,"Mesoplodon mirus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"76",1915,"Monodon monoceros",0,9,19,40.13,0,8,1,15.82381909,-2.66
"77",1915,"Orcinus orca",0,9,19,40.13,0,8,1,15.82381909,-2.66
"78",1915,"Peponocephala electra",0,9,19,40.13,0,8,1,15.82381909,-2.66
"79",1915,"Phocoena phocoena",7,9,19,40.13,0,8,1,15.82381909,-2.66
"80",1915,"Physeter macrocephalus",0,9,19,40.13,0,8,1,15.82381909,-2.66
"81",1915,"Pseudorca crassidens",0,9,19,40.13,0,8,1,15.82381909,-2.66
"82",1915,"Stenella coeruleoalba",0,9,19,40.13,0,8,1,15.82381909,-2.66
"83",1915,"Tursiops truncatus",1,9,19,40.13,0,8,1,15.82381909,-2.66
"84",1915,"Ziphius cavirostris",2,9,19,40.13,0,8,1,15.82381909,-2.66
"85",1916,"Balaenoptera acutorostrata",4,13,24,39.29,1,7,1,15.37005172,-0.6
"86",1916,"Balaenoptera borealis",0,13,24,39.29,1,7,1,15.37005172,-0.6
"87",1916,"Balaenoptera musculus",1,13,24,39.29,1,7,1,15.37005172,-0.6
"88",1916,"Balaenoptera physalus",1,13,24,39.29,1,7,1,15.37005172,-0.6
"89",1916,"Delphinapterus leucas",0,13,24,39.29,1,7,1,15.37005172,-0.6
"90",1916,"Delphinus delphis",1,13,24,39.29,1,7,1,15.37005172,-0.6
"91",1916,"Globicephala melas",0,13,24,39.29,1,7,1,15.37005172,-0.6
"92",1916,"Grampus griseus",0,13,24,39.29,1,7,1,15.37005172,-0.6
"93",1916,"Hyperoodon ampullatus",2,13,24,39.29,1,7,1,15.37005172,-0.6
"94",1916,"Kogia breviceps",0,13,24,39.29,1,7,1,15.37005172,-0.6
"95",1916,"Kogia sima",0,13,24,39.29,1,7,1,15.37005172,-0.6
"96",1916,"Lagenodelphis hosei",0,13,24,39.29,1,7,1,15.37005172,-0.6
"97",1916,"Lagenorhynchus acutus",1,13,24,39.29,1,7,1,15.37005172,-0.6
"98",1916,"Lagenorhynchus albirostris",1,13,24,39.29,1,7,1,15.37005172,-0.6
"99",1916,"Megaptera novaeangliae",0,13,24,39.29,1,7,1,15.37005172,-0.6
"100",1916,"Mesoplodon bidens",1,13,24,39.29,1,7,1,15.37005172,-0.6
"101",1916,"Mesoplodon densirostris",0,13,24,39.29,1,7,1,15.37005172,-0.6
"102",1916,"Mesoplodon europaeus",0,13,24,39.29,1,7,1,15.37005172,-0.6
"103",1916,"Mesoplodon mirus",0,13,24,39.29,1,7,1,15.37005172,-0.6
"104",1916,"Monodon monoceros",0,13,24,39.29,1,7,1,15.37005172,-0.6
"105",1916,"Orcinus orca",1,13,24,39.29,1,7,1,15.37005172,-0.6
"106",1916,"Peponocephala electra",0,13,24,39.29,1,7,1,15.37005172,-0.6
"107",1916,"Phocoena phocoena",6,13,24,39.29,1,7,1,15.37005172,-0.6
"108",1916,"Physeter macrocephalus",1,13,24,39.29,1,7,1,15.37005172,-0.6
"109",1916,"Pseudorca crassidens",0,13,24,39.29,1,7,1,15.37005172,-0.6
"110",1916,"Stenella coeruleoalba",0,13,24,39.29,1,7,1,15.37005172,-0.6
"111",1916,"Tursiops truncatus",3,13,24,39.29,1,7,1,15.37005172,-0.6
"112",1916,"Ziphius cavirostris",2,13,24,39.29,1,7,1,15.37005172,-0.6
"113",1917,"Balaenoptera acutorostrata",2,11,23,38.52,0,7,1,15.14409004,-2.21
"114",1917,"Balaenoptera borealis",0,11,23,38.52,0,7,1,15.14409004,-2.21
"115",1917,"Balaenoptera musculus",0,11,23,38.52,0,7,1,15.14409004,-2.21
"116",1917,"Balaenoptera physalus",1,11,23,38.52,0,7,1,15.14409004,-2.21
"117",1917,"Delphinapterus leucas",0,11,23,38.52,0,7,1,15.14409004,-2.21
